Date,Open,High,Low,Close,Volume
2018-05-12,9027.5,9027.5,8337.0,8413.0,4076886927
2018-05-13,8413.0,8634.5,8225.0,8477.0,3743678488
2018-05-14,8477.0,8758.0,8336.0,8693.5,2489733333
2018-05-15,8693.5,8882.5,8282.5,8678.0,3328000880
2018-05-16,8678.0,8849.0,8417.5,8476.5,2518801102
2018-05-17,8476.5,8497.0,8080.0,8334.5,3019083310
2018-05-18,8334.5,8481.0,7945.0,8058.5,2062998531
2018-05-19,8058.5,8273.5,7920.0,8233.0,1913268873
2018-05-20,8233.0,8400.0,8152.0,8230.0,1389157000
2018-05-21,8230.0,8610.0,8174.5,8521.5,1688325934
2018-05-22,8521.5,8594.5,8320.0,8397.0,1822218966
2018-05-23,8397.0,8407.0,7950.0,7989.0,2605511682
2018-05-24,7989.0,8028.5,7430.5,7506.0,4239365202
2018-05-25,7506.0,7740.0,7256.0,7568.0,3643462743
2018-05-26,7568.0,7664.0,7320.0,7464.5,2525291252
2018-05-27,7464.5,7648.0,7261.5,7323.0,1583298168
2018-05-28,7323.0,7400.0,7189.0,7336.5,1587861768
2018-05-29,7336.5,7450.0,7080.5,7111.0,2096061721
2018-05-30,7111.0,7569.0,7060.0,7469.0,2522014329
2018-05-31,7469.0,7559.0,7272.0,7372.0,2266843464
2018-06-01,7372.0,7625.0,7330.0,7485.5,2095602599
2018-06-02,7485.5,7618.0,7333.0,7513.0,2065583965
2018-06-03,7513.0,7727.0,7444.0,7631.0,1629728766
2018-06-04,7631.0,7798.0,7575.0,7709.0,1458487437
2018-06-05,7709.0,7760.0,7451.5,7492.0,2107702433
2018-06-06,7492.0,7670.0,7344.0,7622.5,2413959593
2018-06-07,7622.5,7700.0,7478.0,7657.0,2123556560
2018-06-08,7657.0,7755.0,7630.0,7689.0,1649493436
2018-06-09,7689.0,7696.5,7540.0,7625.0,1535801096
2018-06-10,7625.0,7700.0,7436.0,7492.0,1314148739
2018-06-11,7492.0,7492.5,6610.0,6767.0,4350581769
2018-06-12,6767.0,6937.5,6620.0,6870.5,2583772362
2018-06-13,6870.5,6871.0,6433.0,6553.5,2509548091
2018-06-14,6553.5,6633.0,6097.0,6296.5,3466847461
2018-06-15,6296.5,6718.0,6268.0,6631.0,3294127294
2018-06-16,6631.0,6680.0,6355.0,6395.0,2138404894
2018-06-17,6395.0,6600.5,6312.0,6488.5,1623676078
2018-06-18,6488.5,6580.5,6425.0,6443.0,1130284891
2018-06-19,6443.0,6800.0,6374.5,6706.5,1824293086
2018-06-20,6706.5,6838.0,6651.0,6731.5,1571751049
2018-06-21,6731.5,6823.0,6552.5,6750.0,2096211966
2018-06-22,6750.0,6789.0,6671.0,6710.5,1379875457
2018-06-23,6710.5,6728.0,5900.5,6048.5,4251305189
2018-06-24,6048.5,6270.5,6033.5,6165.0,1880458657
2018-06-25,6165.0,6347.0,5743.0,6150.0,3401207273
2018-06-26,6150.0,6350.0,6061.0,6251.5,2113153648
2018-06-27,6251.5,6280.5,6044.0,6074.0,1816573704
